ID	Semestar	Pitanje	Opcija A	Opcija B	Opcija C	Opcija D	Tocan odgovor	Objasnjenje
101	1	Koliko je 1 mA u amperima?	0,1 A	0,01 A	0,001 A	10 A	2	Mili = tisućinka: 1 mA = 0,001 A.
102	1	Koliko je 1 kΩ u ohmima?	100 Ω	10 Ω	1000 Ω	10000 Ω	2	Kilo = tisuću: 1 kΩ = 1000 Ω.
103	1	Tri otpornika od 9 Ω spojeni serijski daju R_uk:	3 Ω	27 Ω	9 Ω	81 Ω	1	R = 9 + 9 + 9 = 27 Ω.
104	1	Reosthat je:	Vrsta baterije	Promjenjivi otpornik	Generator	Vrsta žarulje	1	Služi za regulaciju jakosti struje.
105	1	Supravodljivost znači:	Vrlo veliki otpor	Otpor jednak nuli pri niskim temperaturama	Normalna vodljivost	Vodljivost samo u vakuumu	1	Neki materijali pri temperaturi blizu 0 K nemaju otpor.
106	1	Električni naboj elektrona iznosi otprilike:	1,6 * 10^(-19) C	1 C	9,8 C	6,02 * 10^23 C	0	Elementarni naboj.
107	1	Napon baterije automobila je obično:	1,5 V	230 V	12 V	50 V	2	Standardna automobilska baterija.
108	1	Koji uređaj pretvara kemijsku energiju u električnu?	Motor	Baterija (galvanski članak)	Transformator	Otpornik	1	Kemijske reakcije u bateriji proizvode napon.
109	1	P = I^2 * R. Ako I = 3 A i R = 4 Ω, P je:	12 W	36 W	7 W	144 W	1	P = 9 * 4 = 36 W.
110	1	P = U^2 / R. Ako U = 12 V i R = 6 Ω, P je:	2 W	72 W	24 W	18 W	2	P = 144 / 6 = 24 W.
111	2	Magnetsko polje oko ravnog vodiča ima oblik:	Ravnih linija	Trokuta	Koncentričnih kružnica	Spirala	2	Kružnice su okomite na vodič.
112	2	Feromagnetični materijali su:	Drvo i plastika	Željezo, kobalt, nikal	Staklo i guma	Aluminij i bakar	1	Snažno reagiraju na magnetsko polje.
113	2	Lenzov zakon kaže da inducirani napon:	Pojačava promjenu	Pomaže promjeni	Nije povezan s promjenom	Protivi se promjeni koja ga je izazvala	3	Inducirani napon djeluje u smjeru koji se opire promjeni toka.
114	2	Frekvencija izmjenične struje u Europi iznosi:	60 Hz	100 Hz	50 Hz	25 Hz	2	U SAD-u je 60 Hz.
115	2	Zvuk se najbrže širi kroz:	Vakuum	Zrak	Čvrste tvari	Tekućine	2	Čestice su najbliže pa brže prenose titranje.
116	2	Infrazvuk ima frekvenciju:	Iznad 20 kHz	Između 20 Hz i 20 kHz	Ispod 20 Hz	Točno 440 Hz	2	Ispod donje granice ljudskog sluha.
117	2	Jedinica za jakost zvuka (glasnoću) je:	Hertz	Decibel (dB)	Watt	Newton	1	Šapat ≈ 20 dB, koncert ≈ 110 dB.
118	2	Rezonancija nastaje kada:	Zvuk nestane	Frekvencija pobude = vlastita frekvencija tijela	Nema vibracija	Temperatura raste	1	Pojačanje titranja pri poklapanju frekvencija.
119	2	Dopplerova pojava opisuje:	Refleksiju zvuka	Promjenu frekvencije jer se izvor ili promatrač giba	Lom svjetlosti	Statički elektricitet	1	Npr. sirena vozila u pokretu mijenja ton.
120	2	Indeks loma (n) medija definiran je kao:	n = c / v	n = v * c	n = v - c	n = v / c	0	c = brzina svjetlosti u vakuumu, v = brzina u mediju.
121	2	Indeks loma vode je otprilike:	1,0	1,33	2,0	0,5	1	Svjetlost u vodi ide sporije nego u vakuumu.
122	2	Kratkovidna osoba koristi:	Konveksnu (sabirnu) leću	Konkavnu (rasipnu) leću	Prizmu	Ogledalo	1	Rasipna leća pomiče sliku natrag na mrežnicu.
123	2	Dalekovidna osoba koristi:	Konkavnu leću	Prizmu	Konveksnu (sabirnu) leću	Ravno ogledalo	2	Sabirna leća pomaže fokusirati bliske predmete.
124	2	Mikroskop služi za:	Gledanje zvijezda	Mjerenje temperature	Snimanje zvuka	Promatranje vrlo malih predmeta	3	Koristi sustav leća za uvećanje.
125	2	Teleskop služi za:	Promatranje udaljenih objekata (zvijezda, planeta)	Mjerenje struje	Snimanje zvuka	Zagrijavanje vode	0	Galilejev ili Newtonov teleskop.
