ID	Semestar	Pitanje	Opcija A	Opcija B	Opcija C	Opcija D	Tocan odgovor	Objasnjenje
1	1	Jazz glazba nastala je u:	Europi	SAD-u (New Orleans)	Japanu	Australiji	1	Početak 20. st. — spoj afroameričke i europske glazbe.
2	1	Improvizacija u jazzu znači:	Sviranje po notama	Spontano stvaranje glazbe tijekom izvedbe	Sviranje iz memorije	Samo ponavljanje	1	Ključni element jazza.
3	1	Louis Armstrong bio je poznati:	Klasični kompozitor	Jazz trubač i pjevač	Rock gitarist	Opera pjevač	1	What a Wonderful World.
4	1	Blues je glazbeni žanr koji potječe od:	Europske klasike	Afroameričke tradicije i radničkih pjesama	Azijske glazbe	Latinske glazbe	1	Temelj za jazz, R&B i rock.
5	1	Rock and roll nastao je u:	1920-ima	1930-ima	1950-ima	1980-ima	2	Chuck Berry, Elvis Presley, Little Richard.
6	1	Elvis Presley nazivan je:	Kralj popa	Kralj rock and rolla	Kralj jazza	Kralj bluesa	1	Hound Dog, Jailhouse Rock.
7	1	The Beatles su bili:	Američki bend	Britanski rock bend iz Liverpoola	Njemački bend	Francuski bend	1	John, Paul, George, Ringo — Beatlemanija.
8	1	Sinfonija je:	Kratko djelo za solo instrument	Višestavačna skladba za orkestar	Pjesma za zbor	Solo za klavir	1	Obično 4 stavka — Beethoven, Mozart, Haydn.
9	1	Sonata je:	Djelo za orkestar	Višestavačna skladba za solo instrument ili duo	Djelo za zbor	Samo za gudače	1	Beethovenove sonate za klavir.
10	1	Koncert (concerto) je:	Samo nastup	Skladba za solo instrument uz pratnju orkestra	Djelo za zbor	Samo za gudače	1	Vivaldi: Četiri godišnja doba.
11	1	Tempo u glazbi označava:	Glasnoću	Brzinu izvođenja glazbe	Tonalitet	Ritam	1	Allegro = brzo, Adagio = lagano, Moderato = umjereno.
12	1	Forte (f) u glazbi znači:	Tiho	Glasno	Srednje	Vrlo tiho	1	pp < p < mp < mf < f < ff.
13	1	Piano (p) u glazbi znači:	Glasno	Tiho	Instrument	Srednje	1	Piano = tiho (kao dinamička oznaka).
14	1	Crescendo znači:	Postepeno utišavanje	Postepeno pojačavanje glasnoće	Konstantna glasnoća	Tiho	1	Oznaka: < (otvaranje).
15	1	Decrescendo (diminuendo) znači:	Pojačavanje	Postepeno utišavanje glasnoće	Konstantno	Glasno	1	Oznaka: > (zatvaranje).
16	1	Ritam je:	Samo melodija	Organizacija trajanja tonova u vremenu	Samo harmonija	Samo tekst	1	Okosnija glazbe — puls, mjera, naglasci.
17	1	Melodija je:	Samo ritam	Niz tonova različite visine i trajanja koji tvore glazbenu misao	Samo harmonija	Samo dinamika	1	Ono što pjevušimo — prepoznatljiv dio skladbe.
18	1	Harmonija je:	Samo jedan ton	Istovremeno zvučanje više tonova (akordi)	Samo ritam	Samo melodija	1	Akordna pratnja — dur, mol, septakord.
19	2	Dur ljestvica zvuči:	Tužno	Veselo i otvoreno	Zastrašujuće	Misteriozno	1	C-dur: C D E F G A H C.
