ID	Semestar	Pitanje	Opcija A	Opcija B	Opcija C	Opcija D	Tocan odgovor	Objasnjenje
1	1	Koliko je korijen iz 144?	11	12	13	14	1	12 * 12 = 144.
2	1	Koji je skup prirodnih brojeva?	{...-2, -1, 0, 1, 2...}	{0, 1, 2, 3...}	{1, 2, 3, 4...}	{1 / 2, 1 / 3, 1 / 4...}	2	Prirodni brojevi počinju od 1 i idu u beskonačnost.
3	1	Koliko je korijen iz 225?	25	15	20	14	1	15 * 15 = 225.
4	1	Što je iracionalan broj?	Broj djeljiv s 2	Negativan broj	Broj koji se ne može zapisati kao razlomak	Broj veći od 100	2	Npr. korijen iz 2 ili pi ne mogu se zapisati kao a / b.
5	1	Koliko je 3^4?	12	27	81	64	2	3 * 3 * 3 * 3 = 81.
6	1	Pojednostavi: korijen iz 50.	5 * korijen iz 2	25	10 * korijen iz 5	korijen iz 25	0	50 = 25 * 2, pa je korijen iz 50 = 5 * korijen iz 2.
7	1	Riješi nejednadžbu: 2x + 1 > 7.	x > 4	x > 3	x < 3	x > 6	1	2x > 6, dakle x > 3.
8	1	Koliko je (-2)^3?	-6	8	-8	6	2	(-2) * (-2) * (-2) = -8. Neparni eksponent zadržava predznak.
9	1	Što je skup realnih brojeva?	Samo pozitivni brojevi	Samo cijeli brojevi	Samo racionalni brojevi	Unija racionalnih i iracionalnih brojeva	3	Realni brojevi uključuju sve racionalne i iracionalne.
10	1	Koliko je korijen iz 0?	1	Nije definirano	0	-1	2	0 * 0 = 0, dakle korijen iz 0 je 0.
11	1	Riješi jednadžbu: 3x - 9 = 0.	x = 9	x = -3	x = 3	x = 0	2	3x = 9, x = 3.
12	1	Koliko je 2^(-2)?	4	-4	1 / 4	-1 / 4	2	2^(-2) = 1 / 2^2 = 1 / 4.
13	1	Pravilo: a^m * a^n = ?	a^(m-n)	a^(m*n)	(2a)^(m+n)	a^(m+n)	3	Pri množenju potencija s istom bazom eksponenti se zbrajaju.
14	1	Koliko je korijen iz 169?	12	14	13	11	2	13 * 13 = 169.
15	1	Ako je a = 3 i b = 4, koliko je a^2 + b^2?	7	12	25	49	2	9 + 16 = 25.
16	1	Riješi nejednadžbu: -x < 5.	x > 5	x > -5	x < 5	x < -5	1	Pomnožimo s -1 i okrenemo znak: x > -5.
17	1	Koliko je 5^0?	5	0	1	50	2	Svaki broj (osim 0) na nultu potenciju je 1.
18	1	Skup cijelih brojeva označavamo slovom:	N	Q	R	Z	3	Z dolazi od njemačke riječi Zahlen (brojevi).
19	1	Što je brojevni pravac?	Pravac u prostoru	Grafički prikaz realnih brojeva na pravcu	Linearna funkcija	Tablica brojeva	1	Svaka točka na pravcu odgovara jednom realnom broju.
20	1	Koliko je korijen iz 196?	13	15	14	16	2	14 * 14 = 196.
21	1	Riješi: /x/ = 7. Koliko rješenja ima?	0	Beskonačno mnogo	1	2	3	x = 7 ili x = -7, dakle dva rješenja.
22	1	Koliko je (korijen iz 3)^2?	9	6	3	korijen iz 9	2	Kvadriranje i korjenovanje su inverzne operacije.
23	1	Zapis 0,333... je:	Iracionalan broj	Prirodni broj	Racionalan broj (1 / 3)	Cijeli broj	2	Periodički decimalni zapis uvijek predstavlja razlomak.
24	1	Koliko je 10^(-3)?	0,01	0,001	-1000	1000	1	10^(-3) = 1 / 1000 = 0,001.
25	1	Površina kvadrata je 49 cm^2. Kolika je stranica?	24,5 cm	7 cm	49 cm	14 cm	1	a = korijen iz 49 = 7 cm.
26	2	Pitagorin poučak glasi:	a + b = c	a^2 - b^2 = c^2	a * b = c^2	a^2 + b^2 = c^2	3	Zbroj kvadrata kateta jednak je kvadratu hipotenuze.
27	2	Katete su 6 cm i 8 cm. Kolika je hipotenuza?	14 cm	48 cm	10 cm	12 cm	2	c^2 = 36 + 64 = 100, c = 10 cm.
28	2	Hipotenuza je 13 cm, jedna kateta 5 cm. Kolika je druga kateta?	12 cm	8 cm	18 cm	10 cm	0	b^2 = 169 - 25 = 144, b = 12 cm.
29	2	Je li trokut sa stranicama 5, 12, 13 pravokutan?	Da	Ne	Samo ako je jednakokračan	Nedostaje podataka	0	5^2 + 12^2 = 25 + 144 = 169 = 13^2. Da.
30	2	Dijagonala pravokutnika 3 cm × 4 cm iznosi:	7 cm	12 cm	3,5 cm	5 cm	3	d^2 = 9 + 16 = 25, d = 5 cm.
31	2	Što je kvadratna jednadžba?	ax + b = 0	a / x = b	ax^2 + bx + c = 0	x^3 = a	2	Jednadžba drugog stupnja s nepoznanicom x.
32	2	Koliko rješenja može imati kvadratna jednadžba?	Uvijek dva	Samo jedno	0, 1 ili 2	Uvijek tri	2	Ovisi o diskriminanti (D = b^2 - 4ac).
33	2	Ako je D = b^2 - 4ac > 0, jednadžba ima:	Nijedno rješenje	Dva jednaka rješenja	Beskonačno	Dva različita rješenja	3	Pozitivna diskriminanta znači dva različita realna rješenja.
34	2	Ako je D = 0, kvadratna jednadžba ima:	Dva različita rješenja	Jedno dvostruko rješenje	Nijedno rješenje	Beskonačno rješenja	1	Diskriminanta jednaka nuli daje jedno dvostruko rješenje.
35	2	Riješi: x^2 = 25.	x = 5	x = -5	x = 5 ili x = -5	x = 25	2	Oba broja na kvadrat daju 25.
36	2	Riješi: x^2 - 9 = 0.	x = 9	x = 3 ili x = -3	x = 3	x = -9	1	x^2 = 9, x = ±3.
37	2	Razlika kvadrata: a^2 - b^2 = ?	(a-b)^2	(a+b)(a-b)	a*b	2ab	1	Formula razlike kvadrata.
38	2	Koliko je (a + b)^2?	a^2 + b^2	a^2 + 2ab + b^2	2a + 2b	a^2 - b^2	1	Kvadrat binoma: (a+b)^2 = a^2 + 2ab + b^2.
39	2	Koliko je (a - b)^2?	a^2 - b^2	a^2 + 2ab - b^2	a^2 - 2ab + b^2	(a+b)(a-b)	2	Kvadrat binoma: (a-b)^2 = a^2 - 2ab + b^2.
40	2	Rastavi: x^2 + 6x + 9.	(x+3)(x-3)	(x+9)^2	(x-3)^2	(x+3)^2	3	Potpuni kvadrat: a=x, b=3, 2ab=6x.
41	2	Nultočke funkcije y = x^2 - 4 su:	x = 4	x = 2 i x = -2	x = 0	x = 1 i x = -1	1	x^2 = 4, x = ±2.
42	2	Graf kvadratne funkcije y = x^2 je:	Pravac	Kružnica	Hiperbola	Parabola	3	Kvadratna funkcija uvijek daje parabolu.
43	2	Tjeme parabole y = (x - 2)^2 + 3 je u točki:	(3, 2)	(-2, 3)	(2, 3)	(0, 7)	2	Oblik y = (x-h)^2 + k daje tjeme (h, k).
44	2	Ako je a > 0 u y = ax^2, parabola je:	Okrenem prema dolje	Pravac	Okrenuta prema gore	Kružnica	2	Pozitivni koeficijent uz x^2 otvara parabolu prema gore.
45	2	Koliko je korijen iz (korijen iz 81)?	9	27	3	81	2	Korijen iz 81 = 9, korijen iz 9 = 3.
