ID	Semestar	Pitanje	Opcija A	Opcija B	Opcija C	Opcija D	Tocan odgovor	Objasnjenje
101	1	Pointilizam je tehnika:	Velikih poteza kistom	Nanošenja malih točkica boje koje se optički miješaju	Razlijevanja boje	Samo crno-bijelih crteža	1	Seurat, Signac — neoimpresionizam.
102	1	Georges Seurat poznat je po:	Ekspresionizmu	Pointilizmu (Nedjeljno poslijepodne na otoku Grande Jatte)	Kubizmu	Futurizmu	1	Pionir pointilizma.
103	1	Auguste Renoir bio je:	Kipar	Impresionistički slikar poznat po veselim scenama	Arhitekt	Dizajner	1	Ples u Moulin de la Galette.
104	1	Edgar Degas je često slikao:	Krajolike	Balerine i konjske utrke	Apstrakcije	Mrtve prirode	1	Poznate scene iz baletnog studija.
105	2	Roy Lichtenstein je u pop-artu koristio:	Fotografije	Strip-stil s Ben-Day točkicama	Apstrakciju	Realizam	1	Whaam!, Drowning Girl.
106	2	Claes Oldenburg poznat je po:	Malim skulpturama	Skulpturama svakodnevnih predmeta u velikom formatu	Slikarstvu	Grafici	1	Mega sladoled, mega hamburger — pop art skulpture.
107	2	Jeff Koons poznat je po:	Klasičnom kiparstvu	Skulpturama poput Balloon Dog i Puppy	Impresionizmu	Ekspresionizmu	1	Suvremena pop kultura u kiparstvu.
108	2	Damien Hirst je poznat po:	Klasičnom slikarstvu	Kontroverznim djelima s životinjama u formaldehydu	Krajolicima	Portretima	1	YBA (Young British Artists).
109	1	Paul Cézanne smatra se:	Ocem impresionizma	Ocem modernog slikarstva (most prema kubizmu)	Ocem dadaizma	Ocem nadrealizma	1	Geometrizacija oblika — utjecao na Picassa.
110	1	Paul Gauguin je poznat po:	Gradskim scenama	Egzotičnim prizorima s Tahitija	Kubizmu	Futurizmu	1	Intenzivne boje, primitivizam.
111	2	Yayoi Kusama poznata je po:	Krajolicima	Beskrajnim prostorijama s točkicama (Infinity Rooms)	Portretima	Kubizmu	1	Japanska suvremena umjetnica.
112	2	Ai Weiwei je:	Japanski slikar	Kineski suvremeni umjetnik i aktivist	Američki arhitekt	Francuski kipar	1	Koristi umjetnost za društvenu kritiku.
113	1	Svetlotamno (chiaroscuro) je tehnika:	Samo jarkih boja	Kontrastiranja svjetla i sjene za volumen i dramatičnost	Samo jedne boje	Samo ravnih oblika	1	Caravaggio — majstor chiaroscura.
114	1	Sfumato je tehnika:	Oštrim rubovima	Meko stapanje prijelaza boja i tonova bez oštrih rubova	Debelim potezima	Samo akvarelom	1	Leonardo da Vinci — Mona Lisa.
115	1	Trompe-l'oeil je:	Apstrakcija	Iluzionistička tehnika koja 'vara oko' — izgleda 3D	Samo crtež	Samo fotografija	1	Francuski — doslovno 'prevari oko'.
116	2	Mixed media (mješovita tehnika) je:	Samo uljane boje	Korištenje više različitih materijala i tehnika u jednom djelu	Samo akvarel	Samo kolaž	1	Papir + boja + fotografija + tkanina...
