ID	Semestar	Pitanje	Opcija A	Opcija B	Opcija C	Opcija D	Tocan odgovor	Objasnjenje
101	1	Pentatonska ljestvica ima:	7 tonova	5 tonova	12 tonova	3 tona	1	Penta = 5. Česta u folk i rock glazbi.
102	1	Kromatska ljestvica ima:	7 tonova	5 tonova	12 tonova (svi polutonovi)	8 tonova	2	Svaki ton udaljen je poluton od sljedećeg.
103	1	Modulacija u glazbi je:	Promjena ritma	Prijelaz iz jednog tonaliteta u drugi	Promjena tempa	Promjena glasnoće	1	Česta u klasičnoj i pop glazbi.
104	1	Predznaci (#, b) na početku notnog zapisa:	Samo ukras	Određuju tonalitet skladbe	Samo za ritam	Samo za tempo	1	# = povisilica, b = snizilica.
105	2	Soul glazba nastala je iz:	Klasike	Gospela i R&B-a	Rocka	Jazzu	1	Aretha Franklin, Marvin Gaye, Otis Redding.
106	2	Funk glazba karakterizira:	Tihi zvuk	Naglašenu bas liniju i ritmičku sekciju	Samo pjevanje	Samo gudače	1	James Brown — 'Godfather of Funk'.
107	2	Disco glazba bila je popularna u:	1950-ima	1960-ima	1970-ima	1990-ima	2	Bee Gees, Donna Summer, Saturday Night Fever.
108	2	Indie rok/pop je:	Mainstream	Nezavisna glazba izdana izvan velikih diskografskih kuća	Samo klasika	Samo jazz	1	Radiohead, Arctic Monkeys — kreativna sloboda.
109	1	Orgulje su:	Samo gudački instrument	Puhačko-tipkački instrument, najveći klasični instrument	Samo udaraljka	Samo elektronički instrument	1	Crkve, dvorane — moćan zvuk.
110	1	Harmonika (harmonijka) je:	Gudač	Aerofonni instrument s tipkama i mjehom	Udaraljka	Samo elektronski instrument	1	Popularna u folk glazbi diljem svijeta.
111	1	Saksofon pripada skupini:	Limenih puhača	Drvenih puhača (ima trsku)	Gudača	Udaraljki	1	Adolphe Sax — izumio ga 1846.
112	1	Klarinet je:	Limeni puhač	Drveni puhač s jednom trskom	Gudač	Udaraljka	1	Topao, mekan zvuk — od klasike do jazza.
113	1	Oboa je:	Limeni puhač	Drveni puhač s dvostrukom trskom	Gudač	Udaraljka	1	Karakterističan nazalan zvuk.
114	2	Sintesajzer je:	Akustički instrument	Elektronički instrument koji sintetizira zvukove	Samo bubanj	Samo gitara	1	Moog, Roland, Korg — revolucija zvuka.
115	2	MIDI je:	Vrsta gitare	Digitalni protokol za komunikaciju glazbenih uređaja	Vrsta mikrofona	Vrsta pojačala	1	Musical Instrument Digital Interface.
116	2	Auto-Tune koristi se za:	Pojačavanje	Korekciju intonacije glasa u studijskim snimkama	Samo za bubnjeve	Samo za gitaru	1	Čer — Believe (1998) — popularizirala efekt.
117	1	Rondo forma je:	ABA	ABACADA (refren se ponavlja)	AB	AABB	1	Refren (A) se izmjenjuje s epizodama (B, C...).
118	1	Trodijelna forma je:	AB	ABA	ABCD	AABB	1	Tema — kontrast — povratak teme.
119	1	Varijacije su glazbena forma u kojoj:	Nema promjena	Tema se ponavlja s promjenama (ritam, harmonija, melodija)	Samo se ubrzava	Samo se usporava	1	Mozart: Ah! vous dirai-je, Maman (Twinkle Twinkle).
120	2	Recitativ u operi je:	Plesna točka	Pjevani govor koji vodi radnju između arija	Zbor	Instrumentalni solo	1	Pripovjedni, govorno-pjevačkim stilom.
121	2	Duet u glazbi je:	Solo	Skladba za dva izvođača	Trio	Kvartet	1	Dva pjevača ili instrumentalista.
122	2	Requiem je:	Vesela skladba	Misa za pokojne	Ples	Marš	1	Mozartov, Verdijev, Brahmsov requiem.
123	2	Oratorij je:	Samo opera	Velikla vokalno-instrumentalna skladba na religioznu temu (bez scenografije)	Samo balet	Samo simfonija	1	Händel: Mesija — Aleluja.
124	1	Kanon je:	Samo jedan glas	Imitacijska forma — glasovi ulaze jedan za drugim s istom melodijom	Samo akordi	Samo ritam	1	Frère Jacques — najpoznatiji kanon.
125	1	Ostinato je:	Solo	Ponavljajući glazbeni obrazac (ritam ili melodija)	Samo pjevanje	Samo pauza	1	Basso ostinato — Bolero (Ravel).
126	2	Jingle je:	Dugačka skladba	Kratka glazbena fraza za reklamu ili identifikaciju	Opera	Simfonija	1	Glazba koja se lako pamti.
127	2	Podcast može uključivati:	Samo glazbu	Govor, intervjue, glazbu i zvučne efekte	Samo video	Samo slike	1	Audio sadržaj za slušanje na zahtjev.
128	1	Crescendo i decrescendo su elementi:	Melodije	Dinamike	Ritma	Harmonije	1	Dinamika = glasnoća u glazbi.
129	1	Allegro znači:	Lagano	Brzo i veselo	Umjereno	Vrlo lagano	1	Tempooznaka — oko 120-160 BPM.
130	1	Adagio znači:	Brzo	Lagano i dostojanstveno	Umjereno	Jako brzo	1	Tempooznaka — oko 55-65 BPM.
131	1	Andante znači:	Brzo	Hodeći tempo (umjereno)	Vrlo lagano	Jako brzo	1	Tempooznaka — oko 76-108 BPM.
132	1	Presto znači:	Lagano	Umjereno	Jako brzo	Tiho	2	Tempooznaka — oko 168-200 BPM.
133	2	Fermat u glazbi:	Skraćuje notu	Produžava notu ili pauzu po želji izvođača	Mijenja visinu	Mijenja boju	1	Znak: polukrug s točkom iznad note.
134	2	Triller je:	Pjevačka tehnika	Brzo izmjenjivanje tona i susjednog tona	Samo za bubnjeve	Samo za klavir	1	Ukrasniki (ornamenti) u glazbi.
135	2	Vibrato je:	Samo za gitaru	Blago titranje visine tona za topliji zvuk	Samo za bubnjeve	Staccato	1	Koriste ga pjevači i gudači.
136	1	Mješoviti zbor se sastoji od:	Samo muškaracas	Muških i ženskih glasova (SATB)	Samo žena	Samo djece	1	Sopran, Alt, Tenor, Bas.
137	1	Dječji zbor pjeva u:	Samo niskim registrima	Višim registrima — sopran i alt	Samo bas	Samo tenor	1	Čisto, zvonko pjevanje.
138	2	Claude Debussy bio je:	Barokni	Francuski impresionistički skladatel	Rock glazbenik	Jazz glazbenik	1	Clair de Lune, La Mer.
139	2	Igor Stravinski je poznat po:	Oiperama	Posvećenju proljeća (Rite of Spring)	Jazzom	Pop glazbom	1	Revolucionarno djelo — skandal na premijeri 1913.
140	2	Béla Bartók koristio je:	Samo pop	Elemente folk glazbe u modernim klasičnim skladbama	Samo jazz	Samo elektroniku	1	Mađarski folklor + moderna harmonija.
141	1	Boris Papandopulo bio je:	Pop glazbenik	Istaknuti hrvatski skladatel 20. stoljeća	Rock glazbenik	Jazz glazbenik	1	Sinfonietta, koncerti, kantate.
142	1	Ivo Tijardović napisao je:	Samo simfonije	Malu Floramy i Split sjene	Samo zbor	Samo solo pjesme	1	Splitske operete.
143	1	Oliver Dragojević bio je:	Klasični pijanist	Legendarni hrvatski pop pjevač	Jazz trubač	Rock gitarist	1	Cesarica, Kad mi dođeš ti.
144	2	Arsen Dedić bio je:	Classical glazbenik	Hrvatski kantautor i šansonjer	Rock glazbenik	DJ	1	Kuća pored mora, Ti si meni sve.
145	2	Eurosong/Eurovision Song Contest je:	Samo europsko natjecanje	Međunarodno natjecanje pjesmanice u Europi (i šire)	Samo američki show	Samo TV emisija	1	Od 1956. — ABBA, Celine Dion itd.
146	1	Xilofon pripada skupini:	Gudača	Udaraljki s tonovima	Puhača	Žičanih instrumenta	1	Drvene pločice koje se udaraju palicama.
147	1	Timpani ( kotlovi) su:	Gudači	Udaraljke s određenom visinom tona	Puhači	Tipkači	1	Veliki bakreni bubnjevi u orkestru.
148	2	Glazbena terapija koristi:	Samo slušanje	Glazbu za liječenje i poboljšanje mentalnog zdravlja	Samo sviranje	Samo pjevanje	1	Dokazani pozitivni učinci na stres, bol, emocije.
149	2	Autorska prava u glazbi:	Ne postoje	Štite originalni rad glazbenika i skladatelja	Samo za klasiku	Samo za rock	1	Copyright, tantiijeme, licencije.
150	2	Plagijat u glazbi znači:	Originalnost	Prisvajanje tuđe melodije ili teksta bez dopuštenja	Inspiracija	Hommage	1	Pravni i etički problem.
151	1	Ballada može biti:	Samo brza	I pjesma i instrumentalna skladba narativnog karaktera	Samo u jazzu	Samo u operi	1	Balada = pripovijedanje kroz glazbu.
152	1	Rock balada je:	Brza pjesma	Lagana, emocionalna rock pjesma	Samo instrumentalna	Samo plesna	1	Guns N' Roses — November Rain.
