ID	Semestar	Pitanje	Opcija A	Opcija B	Opcija C	Opcija D	Tocan odgovor	Objasnjenje
1	1	Moderna umjetnost nastaje u:	Antici	Renesansi	Kasnom 19. i 20. stoljeću	Srednjem vijeku	2	Od impresionizma nadalje — raskid s tradicijom.
2	1	Impresionizam je nastao u:	Italiji	Španjolskoj	Francuskoj	Njemačkoj	2	1860-ih/70-ih — Monet, Renoir, Degas.
3	1	Claude Monet je najpoznatiji po:	Portretima	Serijama slika vodenih ljiljana i dojmova prirode	Skulpturama	Arhitekturi	1	Impresija, izlazak sunca — dal ime pokretu.
4	1	Postimpresionizam uključuje umjetnike poput:	Michelangela	Cézannea, Van Gogha, Gauguina	Da Vincija	Botticellija	1	Nastavili inovirati nakon impresionizma.
5	1	Vincent van Gogh posebno je poznat po:	Točnom realizmu	Ekspresivnom potezu kista i intenzivnim bojama	Klasičnoj kompoziciji	Geometrijskim oblicima	1	Zvjezdana noć, Suncokreti.
6	1	Ekspresionizam naglašava:	Realističan prikaz	Izražavanje emocija kroz deformirane oblike i intenzivne boje	Geometrijske oblike	Fotografsku točnost	1	Munch, Kirchner, Schiele.
7	1	Edvard Munch naslikao je:	Mona Lisu	Krik	Zvijezdanu noć	Guernica	1	Simbol ekspresionizma — izraz tjeskobe.
8	1	Kubizam su osnovali:	Monet i Renoir	Picasso i Braque	Van Gogh i Gauguin	Kandinsky i Klee	1	Razbijanje oblika na geometrijske forme.
9	1	Pablo Picasso je poznati primjer:	Impresionista	Kubista (i mnogo drugih stilova)	Realista	Romantičara	1	Guernica, Les Demoiselles d'Avignon.
10	1	Apstraktna umjetnost:	Prikazuje samo ljude	Ne prikazuje prepoznatljive objekte iz stvarnosti	Prikazuje samo krajolike	Prikazuje samo životinje	1	Kandinsky, Mondrian, Malevič.
11	1	Vasilij Kandinski smatra se ocem:	Impresionizma	Kubizma	Apstraktne umjetnosti	Futurizma	2	Prve čiste apstrakcije oko 1910.
12	1	Piet Mondrian koristio je:	Organske oblike	Pravilne geometrijske oblike i primarne boje	Samo crnu i bijelu	Samo prirodne motive	1	Neoplasticizam — horizontale, vertikale, crvena, plava, žuta.
13	1	Futurizam je slavilo:	Prošlost	Brzinu, tehnologiju i modernost	Samo prirodu	Samo religiju	1	Talijanski pokret — Boccioni, Balla.
14	2	Dadaizam je bio:	Klasičan stil	Antiratni, antiustanovni umjetnički pokret	Samo arhitektura	Samo glazba	1	Duchamp, ready-made — protuumjetnički.
15	2	Marcel Duchamp poznat je po:	Klasičnim portretima	Ready-made objektima (npr. Fontana — pisoar)	Krajolicima	Freskama	1	Postavljao je pitanje — što je uopće umjetnost?
16	2	Nadrealizam (Surrealizam) istražuje:	Samo realan svijet	Svijet snova, podsvijest i nesvjesno	Samo geometriju	Samo krajolike	1	Dalí, Magritte, Ernst — utjecaj Freuda.
17	2	Salvador Dalí poznat je po:	Kubizmu	Nadrealizmu (Postojanost pamćenja — meki satovi)	Impresionizmu	Futurizmu	1	Dalíjevi rastopljeni satovi — ikonska slika.
18	2	René Magritte naslikao je:	Zvjezdanu noć	Ceci n'est pas une pipe (Ovo nije lula)	Krik	Guernica	1	Igra s percepcijom i stvarnošću.
19	2	Pop art je nastao u:	19. st.	1920-ih	1950-ih/60-ih	2000-ih	2	Warhol, Lichtenstein — koristi popularne kulture.
