ID	Semestar	Pitanje	Opcija A	Opcija B	Opcija C	Opcija D	Tocan odgovor	Objasnjenje
101	1	Elektromagnet nastaje kada:	Struja teče kroz vakuum	Električna struja protječe kroz zavojnicu	Magnet se zagrije	Struja se zaustavi	1	Zavojnica s jezgrom — elektromagnetski učinak.
102	1	Relej je:	Samo otpornik	Elektromagnetski prekidač	Samo kondenzator	Samo dioda	1	Mala struja upravlja velikom strujom.
103	1	Električna zvonca koriste:	Samo bateriju	Elektromagnet za pokretanje udarača	Samo motor	Samo LED	1	Prekidač → struja → elektromagnet → udarač.
104	1	Poluga je jednostavan stroj koji:	Proizvodi energiju	Smanjuje silu potrebnu za pomicanje tereta	Samo drži	Samo rezuje	1	Oslonac, sila, teret — tri vrste poluge.
105	1	Kolotur služi za:	Samo ukrašavanje	Promjenu smjera ili veličine sile	Samo za mjerenje	Samo za zaustavljanje	1	Nepokretni kolotur → mijenja smjer, pokretni → smanjuje silu.
106	1	Vreteno (vijak) kao jednostavan stroj:	Samo za montažu	Pretvara rotaciju u linearno gibanje	Samo za drvo	Samo za metal	1	Vijačni mehanizam — preša, dizalica.
107	2	Biogoriva su:	Fosilna goriva	Goriva proizvedena iz biljaka ili organskog otpada	Nuklearna energija	Samo sunčeva energija	1	Biodizel, bioetanol — obnovljivi.
108	2	Geotermalna energija koristi:	Sunce	Toplinu iz unutrašnjosti Zemlje	Vjetar	Vodu	1	Island, Hrvatska (Zagreb geot. izvan).
109	2	Energija vodika:	Zagađuje	Čist izvor energije — proizvodi samo vodu pri izgaranju	Proizvodi CO2	Ista kao nafta	1	Vodikove ćelije (fuel cells).
110	2	Li-ion baterija se koristi u:	Samo satovima	Mobitelima, laptopima, e-autima	Samo u igračkama	Samo u kući	1	Litij-ionska — punjiva, lagana, velika gustoća energije.
111	1	Otpornost žice ovisi o:	Samo boji	Duljini, presjeku i materijalu žice	Samo temperaturi	Samo masi	1	R = ρ × l / A.
112	1	Kratki spoj nastaje kada:	Normalan rad	Struja zaobiđe potrošač — struja naglo poraste	Nema struje	Samo pri niskim naponima	1	Opasno! Osigurač reagira.
113	1	RCD (zaštitni uređaj diferencijalne struje) štiti od:	Prenapona	Strujnog udara — detektira razliku struja	Kratkog spoja	Samo požara	1	FI-sklopka — spašava živote!
114	2	Optičko vlakno prenosi:	Struju	Podatke pomoću svjetlosti	Vodu	Zrak	1	Internet, telekomunikacije — velika brzina.
115	2	GPS koristi:	Radio valove	Satelite za određivanje pozicije na Zemlji	Samo internet	Samo radar	1	Global Positioning System — navigacija.
116	2	Bluetooth služi za:	Samo internet	Bežični prijenos podataka na kratke udaljenosti	Samo telefoniranje	Samo GPS	1	Slušalice, zvučnici, datoteke.
117	2	Wi-Fi koristi:	Kabel	Radio valove za bežični pristup internetu	Satelit	Optiku	1	Router → uređaji — lokalna mreža.
118	1	Termostat služi za:	Samo mjerenje	Automatsku regulaciju temperature	Samo grijanje	Samo hlađenje	1	Uključuje/isključuje grijanje prema zadanoj temperaturi.
119	1	Bimetalni termostats funkcionira na principu:	Magnetizma	Različitog širenja dva spojena metala pri zagrijavanju	Samo elektriciteta	Samo pritiska	1	Savija se pri promjeni temperature.
120	2	Solarne ćelije rade na principu:	Magnetskog	Fotonaponskog efekta	Termoelektričnog	Piezoelektričnog	1	Svjetlost → elekteone-rupepari → struja.
121	1	Indukcijsko kuhalo koristi:	Plin	Elektromagnetsku indukciju za zagrijavanje posude	Infracrveno zračenje	Otvoreni plamen	1	Samo feromagnetske posude — brzo, učinkovito.
122	1	Električna žarulja s volframovom niti:	Najučinkovitija	Samo 5% energije pretvara u svjetlost, ostatak u toplinu	Ne proizvodi toplinu	Potpuno učinkovita	1	LED je 5-10× učinkovitiji.
123	2	Smart grid je:	Samo kabel	Pametna električna mreža s dvosmjernom komunikacijom	Samo trafostanica	Samo dalekovod	1	Optimizira distribuciju i potrošnju energije.
124	2	Mikrokontroler je:	Veliki računalos	Mali 'računalo na čipu' za upravljanje uređajima	Samo memorija	Samo procesor	1	U perilicama, autima, igračkama, Arduino.
125	1	Logički krug AND daje 1 kada:	Barem jedan ulaz je 1	Svi ulazi su 1	Nijedan ulaz nije 1	Samo jedan je 1	1	1 AND 1 = 1, inače 0.
126	1	Logički krug OR daje 1 kada:	Svi ulazi su 0	Barem jedan ulaz je 1	Nijedan nije 1	Samo oba su 1	1	1 OR 0 = 1, 0 OR 0 = 0.
127	1	Logički krug NOT:	Svira signal	Invertira ulaz (1→0, 0→1)	Pojačava	Smanjuje	1	NOT 1 = 0, NOT 0 = 1.
128	2	Binani brojevni sustav koristi:	10 znamenki	2 znamenke (0 i 1)	16 znamenki	8 znamenki	1	Osnova digitalnih sustava.
129	2	1 bajt (byte) ima:	4 bita	8 bitova	16 bitova	32 bita	1	1 byte = 8 bits.
130	2	1 kilobajt (KB) ima:	100 bajta	1000 bajta (ili 1024)	10000 bajta	500 bajta	1	KB → MB → GB → TB.
131	1	Mehanički prijenos energije uključuje:	Samo struju	Zupčanike, remene, lance, poluge	Samo topliinu	Samo svjetlost	1	Prijenos sile i gibanja.
