ID	Semestar	Pitanje	Opcija A	Opcija B	Opcija C	Opcija D	Tocan odgovor	Objasnjenje
1	1	Koji događaj označava početak Prvog svjetskog rata?	Pad Bastille	Atentat na Franza Ferdinanda u Sarajevu 1914.	Napuštanje Versajskog mirovnog ugovora	Ruska revolucija	1	28. lipnja 1914. — povod za rat.
2	1	Kada je završio Prvi svjetski rat?	1916.	1917.	1918.	1919.	2	11. studenoga 1918. — primirje.
3	1	Koje su bile Središnje sile u I. svjetskom ratu?	Francuska, Velika Britanija, Rusija	Njemačka, Austro-Ugarska, Osmansko Carstvo	SAD, Japan, Italija	Švicarska, Švedska, Norveška	1	Protiv sila Antante.
4	1	Versajski mir potpisan je:	1917.	1918.	1919.	1920.	2	Nametao teške uvjete Njemačkoj.
5	1	Država SHS (Srba, Hrvata i Slovenaca) nastala je:	1914.	1918.	1929.	1945.	1	1. prosinca 1918. — ujedinjenjem južnoslavenskih naroda.
6	1	Stjepan Radić bio je:	Srpski kralj	Hrvatski političar i vođa HSS-a	Austrijski guverner	Talijanski general	1	Zalagao se za prava Hrvata u Kraljevini SHS.
7	1	Kada je Kraljevina SHS preimenovana u Kraljevinu Jugoslaviju?	1918.	1929.	1939.	1945.	1	Šestojanuarsku diktatura kralja Aleksandra.
8	1	Liga naroda osnovana je:	1914.	1919.	1935.	1945.	1	Preteča UN-a, ali nije spriječila II. svjetski rat.
9	1	Ruska revolucija 1917. dovela je do:	Uspostave demokracije	Uspostave komunističke vlasti pod Lenjinom	Monarhije	Anarhije	1	Boljševička revolucija u listopadu.
10	1	Mussolini je uveo fašizam u:	Njemačkoj	Španjolskoj	Italiji	Francuskoj	2	Dolazi na vlast 1922. — Marš na Rim.
11	1	Hitler je došao na vlast u Njemačkoj:	1929.	1933.	1939.	1945.	1	Imenovan za kancelara 30. siječnja 1933.
12	1	Nacistička ideologija temeljila se na:	Demokraciji	Jednakosti	Rasnoj superiornosti, antisemitizmu i totalitarizmu	Pacifizmu	2	Dovela do Holokausta i rata.
13	1	Velika ekonomska kriza počela je:	1914.	1918.	1929.	1939.	2	Pad burze na Wall Streetu — globalna depresija.
14	1	Drugi svjetski rat počeo je:	1937.	1938.	1. rujna 1939.	1941.	2	Njemačka napala Poljsku.
