ID	Semestar	Pitanje	Opcija A	Opcija B	Opcija C	Opcija D	Tocan odgovor	Objasnjenje
101	1	Koliko je korijen iz 289?	16	17	18	15	1	17 * 17 = 289.
102	1	Pojednostavi: korijen iz 72.	6 * korijen iz 2	8 * korijen iz 3	4 * korijen iz 9	9 * korijen iz 2	0	72 = 36 * 2, korijen = 6 * korijen iz 2.
103	1	Koliko je (-5)^2?	-25	25	-10	10	1	Paran eksponent uvijek daje pozitivan rezultat.
104	1	Što je presjek skupova A ∩ B?	Svi elementi iz A	Elementi koji su u A ili B	Prazan skup	Elementi zajednički i A i B	3	Presjek sadrži samo zajedničke elemente.
105	1	Što je unija skupova A ∪ B?	Samo elementi iz B	Presjek	Svi elementi koji su u A ili B ili oba	Prazan skup	2	Unija obuhvaća sve elemente oba skupa.
106	1	Broj -korijen iz 9 je:	3	Nije definirano	-3	9	2	Korijen iz 9 je 3, pa je -korijen iz 9 = -3.
107	1	Koliko je 8^(2 / 3)?	4	2	16	6	0	8^(1 / 3) = 2, pa 2^2 = 4.
108	1	Interval (3, 7) ne uključuje:	4	5	6	3 i 7	3	Otvoreni interval ne uključuje rubne točke.
109	1	Pravilo: (a * b)^n = ?	a^n + b^n	a^n * b^n	(a + b)^n	a * b^n	1	Potencija umnoška jednaka je umnošku potencija.
110	1	Standardni zapis broja 0,00034 je:	34 * 10^(-5)	3,4 * 10^(-4)	0,34 * 10^(-3)	3,4 * 10^4	1	3,4 * 10^(-4) = 0,00034.
111	1	Riješi jednadžbu: 2(x + 3) = x + 10.	x = 4	x = 7	x = 3	x = 10	0	2x + 6 = x + 10, x = 4.
112	1	Koliko je 3^(-1)?	-3	-1 / 3	1 / 3	3	2	3^(-1) = 1 / 3.
113	1	Koji od sljedećih je iracionalan?	0,5	1 / 7	korijen iz 5	-3	2	Korijen iz 5 se ne može zapisati kao razlomak.
114	1	Koliko je korijen iz 0,25?	0,5	0,025	0,125	0,05	0	0,5 * 0,5 = 0,25.
115	1	Skup N je podskup skupa:	Samo Q	Samo Z	Z, Q i R	Samo R	2	N ⊂ Z ⊂ Q ⊂ R.
116	2	Koliko bridova ima trostrana piramida (tetraedar)?	4	6	8	12	1	Tetraedar ima 4 vrha, 6 bridova i 4 strane.
117	2	Katete su 5 cm i 12 cm. Hipotenuza je:	17 cm	13 cm	7 cm	15 cm	1	c^2 = 25 + 144 = 169, c = 13 cm.
118	2	Plašt stošca razvijen u ravnini je:	Pravokutnik	Krug	Kružni isječak	Trokut	2	Bočna ploha stošca je kružni isječak.
119	2	Rastavi: x^2 - 16.	(x-4)^2	(x+4)^2	(x+16)(x-1)	(x+4)(x-4)	3	Razlika kvadrata: a^2 - b^2 = (a+b)(a-b).
120	2	Riješi: x^2 + 2x - 15 = 0.	x = 5 ili x = -3	x = 3 ili x = -5	x = 15 ili x = -1	x = 1 ili x = -15	1	Rastav: (x+5)(x-3) = 0, x = -5 ili x = 3.
121	2	Iz formule V = r^2 * pi * h izrazi h:	h = V * r^2 * pi	h = V - r^2 * pi	h = V / (r^2 * pi)	h = r^2 / (V * pi)	2	Podijelimo obje strane s r^2 * pi.
122	2	Koliki je oplošje kocke brida a = 5 cm?	125 cm^2	25 cm^2	30 cm^2	150 cm^2	3	O = 6 * a^2 = 6 * 25 = 150 cm^2.
123	2	Koliki je volumen kocke brida a = 4 cm?	16 cm^3	48 cm^3	64 cm^3	12 cm^3	2	V = a^3 = 4^3 = 64 cm^3.
124	2	Površina plašta valjka je:	r * pi * h	2 * r * pi * h	r^2 * pi * h	2 * r^2 * pi	1	Plašt = opseg baze * visina = 2r * pi * h.
125	2	Visina pravilne četverostrane piramide baze a = 6 cm i pobočke l = 5 cm:	3 cm	4 cm	5 cm	korijen iz 11 cm	1	h^2 = l^2 - (a / 2)^2 = 25 - 9 = 16, h = 4.
126	1	Riješi sustav: 2x + y = 8 i x - y = 1.	(3, 2)	(2, 4)	(4, 0)	(1, 6)	0	Zbrajamo: 3x = 9, x = 3, y = 2.
127	1	Ako je f(x) = 2x^2 - 1, koliko je f(3)?	17	11	15	5	0	f(3) = 2*9 - 1 = 17.
128	2	Dvije kružnice koje se dodiruju izvana imaju zajedničku:	Tetivu	Sekantu	Tangentu u jednoj točki	Dijagonalu	2	Jedna zajednička tangenta u točki dodira.
129	2	Koliko je 1 m^3 u litrama?	10 l	100 l	1000 l	10000 l	2	1 m^3 = 1000 dm^3 = 1000 l.
130	1	Što je prazni skup?	Skup s jednim elementom	Skup koji sadrži nulu	Skup bez ijednog elementa	Skup svih brojeva	2	Označava se kao ∅ ili {}.
131	1	Pojednostavi: korijen iz 18 + korijen iz 8.	korijen iz 26	5 * korijen iz 2	4 * korijen iz 3	korijen iz 20	1	3 * korijen iz 2 + 2 * korijen iz 2 = 5 * korijen iz 2.
132	1	Koliko je (korijen iz 5)^2 + (korijen iz 3)^2?	korijen iz 8	8	15	4	1	5 + 3 = 8.
133	2	Simetrala kuta dijeli kut na:	Dva nejednaka dijela	Tri dijela	Dva jednaka dijela	Ne dijeli ga	2	Simetrala raspolavlja kut.
